id,address_type,status,entity,adress,appartment,city,postal_code,country,notes,created_at,updated_at
50,Business,Active,Building,41 American Junction,5,Guamal,473029,Colombia,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",4/22/2016,11/12/2018
51,Billing,Active,Building,52 Lillian Park,86,Magangué,132527,Colombia,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,6/23/2018,6/5/2018
52,Business,Active,Customer,9 Atwood Parkway,54,Sabaneta,055457,Colombia,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,8/26/2018,6/2/2018
53,Billing,Active,Customer,8831 Tennessee Center,70,Barbosa,684517,Colombia,Phasellus in felis. Donec semper sapien a libero. Nam dui.,3/28/2017,11/19/2018
54,Business,Active,Building,2609 Grover Alley,27,Senneterre,L0P,Canada,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,5/25/2018,6/5/2018
55,Shipping,Active,Building,407 Forest Dale Pass,91,Richmond,23237,United States,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",5/7/2016,6/18/2018
56,Home,Active,Customer,99 Southridge Drive,31,San Antonio,78265,United States,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",9/19/2016,7/13/2018
57,Shipping,Active,Building,4156 Gateway Terrace,61,Memphis,38150,United States,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",7/27/2018,8/13/2018
58,Billing,Active,Building,9106 Marquette Street,32,Austin,78759,United States,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",3/21/2017,8/31/2018
59,Shipping,Active,Customer,27 Blue Bill Park Pass,47,Irvine,92619,United States,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",6/28/2018,5/12/2018
60,Shipping,Active,Customer,64545 Duke Center,89,Hollywood,33023,United States,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",11/14/2018,12/4/2018
61,Shipping,Active,Building,7835 Forest Run Pass,91,Chinchiná,176048,Colombia,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",11/20/2018,12/15/2018
62,Billing,Active,Customer,354 Marquette Park,30,Momil,232008,Colombia,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,10/30/2016,4/8/2018
63,Business,Active,Building,8 Division Circle,17,Bello,051059,Colombia,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",10/15/2016,2/6/2019
64,Shipping,Inactive,Building,2 Merry Circle,13,Las Vegas,89160,United States,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",8/18/2016,2/1/2019
65,Billing,Active,Customer,1 Cardinal Crossing,44,Guadalupe Victoria,30414,Mexico,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1/13/2019,10/12/2018
66,Shipping,Active,Customer,30 Towne Park,34,Richmond,23237,United States,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,7/2/2018,2/13/2019
67,Home,Active,Building,80 Summit Center,95,Beaverlodge,G8A,Canada,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,10/1/2017,2/15/2019
68,Business,Active,Customer,9790 Bunker Hill Lane,28,Vista Hermosa,39130,Mexico,Phasellus in felis. Donec semper sapien a libero. Nam dui.,11/28/2018,4/3/2018
69,Business,Active,Building,03 Kedzie Circle,62,Washington,20520,United States,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",4/8/2016,10/18/2018
70,Home,Active,Building,691 Dryden Court,69,Plato,475038,Colombia,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",6/18/2018,9/5/2018
71,Shipping,Active,Customer,45035 Doe Crossing Plaza,50,Chester,N9A,Canada,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",7/25/2016,8/27/2018
72,Billing,Active,Customer,1 Westport Street,17,Colorado Springs,80930,United States,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",12/12/2017,5/30/2018
73,Shipping,Active,Customer,83 Birchwood Alley,36,Primero de Mayo,95193,Mexico,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,6/20/2018,8/17/2018
74,Billing,Active,Building,721 Derek Trail,80,Grimshaw,N4W,Canada,In congue. Etiam justo. Etiam pretium iaculis justo.,1/7/2017,4/8/2018
75,Home,Active,Customer,74 Vernon Pass,55,San Antonio,47336,Mexico,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,5/16/2017,7/31/2018
76,Billing,Active,Customer,7182 Kensington Point,43,El Carmen,547079,Colombia,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,10/6/2018,2/16/2019
77,Business,Active,Customer,73172 Sundown Place,54,Emiliano Zapata,40896,Mexico,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",4/27/2017,12/15/2018
78,Billing,Active,Customer,95 Welch Parkway,49,Springfield,01114,United States,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,12/7/2016,2/5/2019
79,Business,Active,Building,884 Ridgeway Point,46,Seattle,98175,United States,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",3/15/2016,3/18/2018
80,Shipping,Active,Building,28 Del Mar Alley,77,Princeton,V6V,Canada,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",2/27/2019,11/29/2018
81,Business,Active,Building,0055 Scofield Alley,7,Belén de Umbría,664048,Colombia,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,9/22/2017,6/9/2018
82,Home,Active,Customer,41 Pepper Wood Place,85,La Virgen,50695,Mexico,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",9/6/2016,11/13/2018
83,Billing,Active,Building,98 Jenifer Terrace,20,La Jagua de Ibirico,203027,Colombia,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,6/24/2016,10/18/2018
84,Business,Active,Customer,5186 Rieder Junction,58,Solidaridad,88736,Mexico,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",2/9/2019,5/26/2018
85,Home,Active,Customer,32564 Almo Lane,30,El Paso,79940,United States,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",3/30/2017,10/21/2018
86,Business,Active,Building,1530 Karstens Place,46,Benito Juarez,88930,Mexico,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",5/4/2018,10/2/2018
87,Business,Active,Building,685 Myrtle Place,77,Miami,33233,United States,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",8/13/2018,4/17/2018
88,Business,Active,Building,815 American Ash Park,73,Miami Beach,33141,United States,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",6/4/2016,8/20/2018
89,Shipping,Active,Customer,3887 Pennsylvania Junction,31,Miami,33158,United States,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,10/28/2016,3/11/2019
90,Business,Active,Building,47 Butternut Crossing,45,Sacramento,94237,United States,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",11/2/2017,3/5/2018
91,Business,Active,Customer,4 Sullivan Road,6,Warwick,G6R,Canada,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",11/24/2018,7/28/2018
92,Home,Active,Building,9678 Duke Way,10,Washington,20404,United States,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,12/7/2017,7/24/2018
93,Business,Active,Building,08802 Harper Drive,20,Candelaria,111711,Colombia,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",5/1/2016,7/10/2018
94,Home,Active,Customer,86 Moulton Lane,6,Nashville,37215,United States,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",9/1/2017,3/31/2018
95,Home,Active,Building,0 Bellgrove Street,12,San Antonio,78225,United States,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",7/22/2016,11/6/2018
96,Shipping,Active,Building,476 Red Cloud Trail,4,Meadow Lake,S9X,Canada,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",10/15/2016,6/30/2018
97,Business,Active,Building,0 Cody Road,93,Circasia,631008,Colombia,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,10/11/2016,11/22/2018
98,Business,Active,Building,08 Forster Circle,89,Saint-André-Avellin,T5Y,Canada,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",4/17/2017,10/25/2018
99,Business,Active,Building,69890 Loomis Lane,28,El Cocuy,151287,Colombia,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",10/20/2018,8/4/2018
100,Business,Active,Customer,4502 Badeau Junction,74,Nuquí,276058,Colombia,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2/28/2017,1/30/2019
101,Business,Inactive,Customer,21 Dwight Drive,11,Springfield,65810,United States,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1/2/2017,4/10/2018
102,Business,Active,Building,8357 Crescent Oaks Court,83,Lloydminster,S9V,Canada,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,8/5/2017,3/5/2019
103,Business,Active,Customer,433 Troy Terrace,13,Waco,76711,United States,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,8/15/2016,3/5/2018
104,Billing,Active,Customer,7 Elgar Hill,6,La Guadalupe,71703,Mexico,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1/8/2018,10/13/2018
105,Home,Active,Building,25 Kings Crossing,65,El Banco,473049,Colombia,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",7/20/2018,7/11/2018
106,Home,Active,Customer,38 Golf Circle,9,Pasadena,91199,United States,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,6/4/2016,8/28/2018
107,Billing,Active,Building,5 Butterfield Avenue,61,Lincoln,68517,United States,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",4/13/2016,7/14/2018
108,Home,Active,Building,02 Golf Hill,11,Barranquilla,080020,Colombia,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",9/27/2016,1/5/2019
109,Business,Active,Building,2714 Spaight Point,84,Hollywood,33023,United States,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",8/29/2016,10/9/2018
110,Home,Active,Customer,4 Surrey Terrace,53,Daytona Beach,32123,United States,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,11/16/2017,5/7/2018
111,Business,Active,Building,6 Claremont Drive,4,Puerto Boyacá,155219,Colombia,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",12/5/2016,6/25/2018
112,Shipping,Inactive,Customer,77039 Hanover Park,50,Buenaventura,764517,Colombia,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,4/25/2018,7/25/2018
113,Business,Active,Customer,85 Ludington Circle,52,West Kelowna,V1Z,Canada,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,7/27/2017,8/16/2018
114,Business,Active,Customer,139 John Wall Parkway,93,Gravelbourg,G8V,Canada,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",9/29/2016,7/15/2018
115,Business,Active,Building,592 Westridge Park,34,Unity,J8R,Canada,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",12/8/2017,12/6/2018
116,Business,Active,Customer,64055 Rutledge Trail,53,La Concepcion,52105,Mexico,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",8/7/2018,7/11/2018
117,Billing,Active,Customer,8174 Fremont Trail,1,Independencia,26830,Mexico,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,10/1/2017,3/11/2018
118,Shipping,Active,Building,85325 Melrose Circle,46,La Paz,71161,Mexico,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",6/28/2017,5/27/2018
119,Shipping,Active,Building,22278 Vahlen Circle,9,Bassano,M5G,Canada,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",11/14/2016,10/26/2018
120,Shipping,Active,Building,5225 Mitchell Alley,30,Ponoka,T4J,Canada,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2/23/2019,12/1/2018
121,Shipping,Active,Customer,2 Vernon Plaza,93,Dallas,75379,United States,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",8/11/2016,7/16/2018
