id,created_at,updated_at,full_name,phone_number,email,business_name,building_type,quality,elevator_price,installation_price,number_elevator,total_price,number_appartment,number_floor,number_basement,number_parking_space,maximum_occupant_per_floor,hour_of_activity,number_of_elevators_cage,number_of_trade_market,number_of_distinct_business
21,11/3/2019,23/12/2018,Imelda Pendall,9009937011,ipendallk@reference.com,Buzzbean,Residential,Excelium,33485,4318,17,28340,280,97,1,0,0,0,0,0,0
22,9/8/2016,17/4/2018,Minda Purdie,6306088349,mpurdiel@thetimes.co.uk,Divanoodle,Commercial,Excelium,49495,1245,46,12779,67,12,5,0,0,0,0,0,0
23,4/9/2018,12/1/2019,Gabriel Lamcken,1122956512,glamckenm@gmpg.org,Tagfeed,Hybrid,Excelium,35369,3304,25,33559,16,14,1,0,0,0,0,0,0
24,21/8/2017,10/7/2018,Nowell Camelli,4644647306,ncamellin@discovery.com,Blogpad,Hybrid,Excelium,25755,4786,6,36946,458,52,2,0,0,0,0,0,0
25,16/12/2018,4/11/2018,Arron Maddison,8497219748,amaddisono@omniture.com,Katz,Residential,Standard,10101,2426,11,14538,287,56,1,0,0,0,0,0,0
26,17/4/2016,31/5/2018,Corie Angood,1422088812,cangoodp@java.com,Katz,Commercial,Standard,31008,4254,19,30664,102,98,1,0,0,0,0,0,0
27,15/11/2018,7/5/2018,Anthe Nicholson,2331213792,anicholsonq@zimbio.com,Jaxbean,Residential,Premium,12844,3589,28,25323,337,47,2,0,0,0,0,0,0
28,18/1/2019,4/1/2019,Yulma Klulik,6031677043,yklulikr@people.com.cn,Zoomdog,Hybrid,Excelium,17254,2823,26,17822,326,21,4,0,0,0,0,0,0
29,6/11/2016,3/1/2019,Odell Slocket,1608803705,oslockets@diigo.com,Photofeed,Hybrid,Premium,45666,3426,28,10606,141,53,2,0,0,0,0,0,0
30,21/12/2016,10/7/2018,Kassey Feak,4139738877,kfeakt@army.mil,Twimm,Commercial,Premium,44246,3709,5,22256,460,18,5,0,0,0,0,0,0
31,1/3/2018,4/1/2019,Masha Philipard,4178092692,mphilipardu@godaddy.com,Aimbu,Residential,Standard,16302,4419,3,20550,18,98,1,0,0,0,0,0,0
32,10/11/2018,16/12/2018,Celeste De Rye Barrett,5452983652,cdev@e-recht24.de,Cogidoo,Residential,Excelium,26946,2026,41,10214,285,82,0,0,0,0,0,0,0
33,17/9/2018,19/12/2018,Ruddy Tolle,9737263430,rtollew@sohu.com,Kare,Residential,Excelium,34165,2945,10,42006,373,40,0,0,0,0,0,0,0
34,13/7/2017,29/1/2019,Austen Lammers,6046129240,alammersx@a8.net,Trilith,Hybrid,Excelium,13638,3902,17,29789,375,41,3,0,0,0,0,0,0
35,22/12/2016,13/11/2018,Rafferty Wincott,3164930956,rwincotty@geocities.com,Eayo,Corporate,Premium,14862,1124,47,47336,356,13,5,0,0,0,0,0,0
36,16/3/2018,29/1/2019,Glynda Point,2219770816,gpointz@desdev.cn,Skidoo,Hybrid,Premium,23902,2375,42,9102,451,27,2,0,0,0,0,0,0
37,19/5/2017,1/5/2018,Edvard Valois,2158449002,evalois10@nifty.com,Vimbo,Corporate,Premium,13205,518,10,21222,64,63,5,0,0,0,0,0,0
38,17/9/2018,8/6/2018,Sullivan Dasent,3041918168,sdasent11@w3.org,Fliptune,Residential,Standard,42498,3709,47,21094,134,43,4,0,0,0,0,0,0
39,25/5/2018,22/9/2018,Kamilah Arnli,2141138977,karnli12@ifeng.com,Vinder,Corporate,Standard,1621,607,10,38311,454,86,0,0,0,0,0,0,0
40,24/5/2017,1/3/2019,Karlis Cadge,1726629295,kcadge13@github.com,Rhybox,Corporate,Standard,25162,2631,4,38439,19,98,3,0,0,0,0,0,0
41,30/5/2016,1/9/2018,Feliks Gadsby,8558356963,fgadsby14@mozilla.org,Oyoloo,Hybrid,Excelium,7114,3011,38,14785,156,9,5,0,0,0,0,0,0
42,17/2/2018,18/11/2018,Devonne Dregan,6441364532,ddregan15@multiply.com,Zooveo,Corporate,Excelium,48680,1695,42,23673,89,34,2,0,0,0,0,0,0
43,30/12/2016,21/6/2018,Noella Wynes,8441019697,nwynes16@stanford.edu,Riffwire,Hybrid,Excelium,46609,4330,27,6714,110,62,2,0,0,0,0,0,0
44,4/3/2017,17/2/2019,Tonya Danilin,1164807062,tdanilin17@macromedia.com,Vimbo,Corporate,Excelium,48200,503,49,5657,2,21,3,0,0,0,0,0,0
45,3/12/2018,13/1/2019,Ariel Menis,5103627826,amenis18@google.pl,Vipe,Residential,Standard,32995,3661,37,19015,461,90,4,0,0,0,0,0,0
46,26/8/2018,11/5/2018,Niki Delle,3196038346,ndelle19@microsoft.com,Linklinks,Residential,Premium,9753,1522,47,24967,227,93,0,0,0,0,0,0,0
47,2/3/2019,2/10/2018,Jamal Skipp,8063047102,jskipp1a@studiopress.com,Abatz,Residential,Standard,6681,2394,50,10366,474,14,4,0,0,0,0,0,0
48,2/1/2018,23/9/2018,Dallas Dawby,6023408115,ddawby1b@nsw.gov.au,Photojam,Residential,Excelium,33797,706,26,27998,338,27,1,0,0,0,0,0,0
49,29/7/2017,24/12/2018,Quinn Pesic,3309661900,qpesic1c@freewebs.com,Skinder,Hybrid,Standard,29644,1316,35,46937,283,9,0,0,0,0,0,0,0
50,10/9/2018,12/12/2018,Fayette Gori,3261159194,fgori1d@slideshare.net,Linklinks,Corporate,Premium,43910,3523,50,16108,358,22,5,0,0,0,0,0,0
51,22/1/2019,27/2/2019,Merla Olpin,2775258531,molpin1e@latimes.com,Tagopia,Corporate,Excelium,25020,2540,39,7624,328,89,3,0,0,0,0,0,0
52,21/9/2017,6/12/2018,Russ Jewar,5651648362,rjewar1f@senate.gov,Youspan,Commercial,Excelium,5414,571,37,5263,276,47,1,0,0,0,0,0,0
53,8/9/2018,19/4/2018,Levy Buessen,5401838874,lbuessen1g@upenn.edu,Feedfire,Commercial,Standard,48757,3355,30,48760,385,27,0,0,0,0,0,0,0
54,27/7/2017,20/4/2018,Gavan Arran,8701090161,garran1h@ezinearticles.com,Jaxbean,Corporate,Excelium,18675,2205,39,28161,85,27,4,0,0,0,0,0,0
55,21/4/2017,25/2/2019,Byran Minton,8286501491,bminton1i@illinois.edu,Teklist,Commercial,Excelium,49071,1243,47,12373,322,22,4,0,0,0,0,0,0
56,18/4/2016,15/3/2018,Cheryl Stockow,2874248317,cstockow1j@ezinearticles.com,Pixope,Corporate,Standard,21283,1592,9,54855,447,78,3,0,0,0,0,0,0
57,30/7/2017,31/12/2018,Joshua Liggens,3052207245,jliggens1k@amazon.co.jp,Roombo,Hybrid,Premium,35149,4568,25,21317,375,35,5,0,0,0,0,0,0
58,20/2/2018,30/8/2018,Oswald Rawlyns,4301828640,orawlyns1l@smugmug.com,Tagchat,Commercial,Premium,32837,1128,13,28872,95,87,5,0,0,0,0,0,0
59,3/3/2018,26/2/2019,Kerwinn Shanklin,3797484500,kshanklin1m@wired.com,Tagopia,Hybrid,Premium,27069,2614,43,36482,94,51,3,0,0,0,0,0,0
60,8/3/2018,2/1/2019,Ab MacInerney,2615076082,amacinerney1n@telegraph.co.uk,Meeveo,Residential,Excelium,35501,3932,3,39457,195,53,0,0,0,0,0,0,0
61,24/10/2017,19/10/2018,Hieronymus Folonin,5349073912,hfolonin1o@github.io,Thoughtsphere,Corporate,Standard,46218,817,26,18343,495,67,3,0,0,0,0,0,0
62,2/6/2016,3/2/2019,Jarad Lambdin,7491076718,jlambdin1p@cbslocal.com,Myworks,Commercial,Premium,29932,544,17,8262,118,22,1,0,0,0,0,0,0
63,1/1/2017,13/7/2018,Jodie Dahlberg,2117216848,jdahlberg1q@opensource.org,Skyble,Hybrid,Excelium,14191,3339,15,48130,412,41,0,0,0,0,0,0,0
64,16/8/2017,26/5/2018,Claudian Cheeld,5026584408,ccheeld1r@example.com,Blognation,Commercial,Standard,3537,1382,35,42573,92,71,3,0,0,0,0,0,0
65,17/10/2017,10/8/2018,Lauralee Batrick,3797176184,lbatrick1s@trellian.com,Eabox,Corporate,Excelium,7257,3908,46,40133,443,57,0,0,0,0,0,0,0
66,21/8/2017,10/2/2019,Nicoli Ixer,4009978659,nixer1t@mayoclinic.com,Skyndu,Hybrid,Excelium,39283,2104,50,36730,161,37,2,0,0,0,0,0,0
67,7/3/2018,14/4/2018,Faustina Greetham,2174633336,fgreetham1u@amazon.co.jp,Yacero,Residential,Excelium,23436,1600,50,10400,267,11,3,0,0,0,0,0,0
68,31/1/2019,14/9/2018,Rubia Petch,2711522551,rpetch1v@tumblr.com,Buzzdog,Hybrid,Standard,10454,1918,46,18312,411,46,2,0,0,0,0,0,0
69,21/8/2016,26/1/2019,Briney Layne,7681364061,blayne1w@kickstarter.com,Dabtype,Commercial,Excelium,45475,2446,36,53301,492,15,3,0,0,0,0,0,0
70,30/3/2016,21/12/2018,Maurizio Toor,3018568307,mtoor1x@hao123.com,Zoozzy,Commercial,Excelium,24768,1116,1,34147,33,68,2,0,0,0,0,0,0
71,26/12/2016,25/9/2018,Hermy Daud,9122862351,hdaud1y@loc.gov,Aimbo,Residential,Premium,48949,1624,14,49395,190,28,0,0,0,0,0,0,0
72,18/5/2016,19/5/2018,Quint Allcoat,4985947290,qallcoat1z@naver.com,Flashspan,Commercial,Standard,1188,2812,1,26266,360,34,5,0,0,0,0,0,0
73,13/12/2016,30/3/2018,Gayel Eversley,2375102155,geversley20@yelp.com,Livepath,Residential,Excelium,31735,4627,49,47778,30,75,1,0,0,0,0,0,0
74,29/8/2018,20/8/2018,Morlee Upcraft,1586173906,mupcraft21@artisteer.com,Roodel,Residential,Standard,25166,4265,43,49771,292,45,1,0,0,0,0,0,0
75,20/10/2018,26/10/2018,Virginie Sudddard,3013716867,vsudddard22@quantcast.com,Thoughtworks,Corporate,Excelium,7277,1695,10,17388,372,21,0,0,0,0,0,0,0
76,27/6/2018,21/10/2018,Averell Duquesnay,9283563091,aduquesnay23@geocities.com,Twitternation,Corporate,Premium,21739,3028,41,46841,200,40,0,0,0,0,0,0,0
77,7/4/2016,26/2/2019,Aldus Maneylaws,5721797794,amaneylaws24@digg.com,Riffwire,Residential,Standard,2983,3559,10,1951,103,7,4,0,0,0,0,0,0
78,21/7/2017,23/11/2018,Francisca Pitkaithly,3604550763,fpitkaithly25@flavors.me,Oozz,Corporate,Premium,36729,1246,21,12672,293,26,4,0,0,0,0,0,0
79,27/12/2016,28/7/2018,Jojo Malbon,9144705332,jmalbon26@springer.com,Edgeify,Corporate,Standard,10272,4879,6,17136,496,51,0,0,0,0,0,0,0
80,29/6/2018,12/2/2019,Anders Eagleton,5191976934,aeagleton27@yahoo.com,Edgeblab,Commercial,Standard,29599,3459,6,10525,490,55,2,0,0,0,0,0,0
81,5/3/2019,16/12/2018,Fania Tenney,7246968637,ftenney28@google.co.jp,Tekfly,Corporate,Premium,47781,4319,41,35978,489,99,5,0,0,0,0,0,0
82,17/4/2018,1/3/2019,Neddie Rawlin,8787718491,nrawlin29@biblegateway.com,Skidoo,Residential,Standard,20165,2719,37,4464,240,4,3,0,0,0,0,0,0
83,12/11/2017,8/8/2018,Jody Reven,8087141983,jreven2a@myspace.com,Babblestorm,Residential,Excelium,14536,3677,47,43426,427,32,5,0,0,0,0,0,0
84,20/1/2017,11/6/2018,Graig Ilyin,5601088960,gilyin2b@ucoz.com,Realfire,Residential,Excelium,3446,1017,18,3246,392,67,2,0,0,0,0,0,0
85,18/1/2017,10/3/2019,Dela Saenz,5678263035,dsaenz2c@sciencedirect.com,Midel,Commercial,Standard,29961,3282,49,37908,148,84,1,0,0,0,0,0,0
86,20/10/2017,7/4/2018,Guss Ohlsen,5257881617,gohlsen2d@comcast.net,Skippad,Residential,Premium,35636,1559,42,50588,256,55,2,0,0,0,0,0,0
87,3/11/2017,4/1/2019,Rebekkah Giovanni,7631685913,rgiovanni2e@nytimes.com,Skivee,Commercial,Premium,45001,2762,16,27013,375,78,1,0,0,0,0,0,0
88,23/11/2016,30/12/2018,Sheeree Paquet,2022657623,spaquet2f@wiley.com,Latz,Corporate,Excelium,1178,4586,36,43259,301,71,2,0,0,0,0,0,0
89,17/6/2018,7/5/2018,Finley Cockett,1087364993,fcockett2g@t-online.de,Blogtag,Hybrid,Excelium,4783,2733,17,31492,109,100,4,0,0,0,0,0,0
90,10/8/2018,6/12/2018,Gabriel Prati,1361706757,gprati2h@hexun.com,Skiptube,Commercial,Premium,27976,1530,6,7694,419,86,1,0,0,0,0,0,0
91,27/1/2019,16/11/2018,Doris Runnett,9365730266,drunnett2i@umn.edu,Divape,Corporate,Excelium,24743,941,37,34528,499,76,5,0,0,0,0,0,0
92,19/1/2018,12/10/2018,Merrill Benfell,4651439665,mbenfell2j@imageshack.us,Photofeed,Hybrid,Standard,49875,4223,44,29389,211,40,4,0,0,0,0,0,0
93,22/12/2016,1/12/2018,Caspar Napper,4813962078,cnapper2k@zdnet.com,Thoughtbeat,Corporate,Standard,42214,1031,7,11778,227,63,5,0,0,0,0,0,0
94,6/6/2018,15/7/2018,August Karolczyk,9396210498,akarolczyk2l@nsw.gov.au,Aimbu,Corporate,Premium,49142,2800,11,14584,369,38,1,0,0,0,0,0,0
95,7/1/2019,31/10/2018,Laverne Tradewell,8187484392,ltradewell2m@tinypic.com,Twitterbridge,Corporate,Excelium,48159,2569,28,32106,38,16,4,0,0,0,0,0,0
96,12/7/2016,9/8/2018,Elwira Larway,1491689763,elarway2n@printfriendly.com,Browsebug,Residential,Excelium,47901,685,47,28222,230,98,1,0,0,0,0,0,0
97,5/12/2016,17/12/2018,Cloe Tures,1422847776,ctures2o@google.ca,Skyble,Commercial,Premium,7982,2385,17,25448,141,23,2,0,0,0,0,0,0
98,16/4/2018,14/7/2018,Guido Polye,5746179729,gpolye2p@bandcamp.com,Oozz,Residential,Premium,44199,4796,29,25017,138,16,2,0,0,0,0,0,0
99,21/7/2018,7/12/2018,Pascal Dilliston,3405493082,pdilliston2q@guardian.co.uk,Oyope,Residential,Standard,44206,1352,50,14781,427,87,3,0,0,0,0,0,0
100,5/10/2018,28/7/2018,Lyndsay Shailer,4076193217,lshailer2r@cmu.edu,Roodel,Corporate,Standard,38245,3452,35,38226,111,93,0,0,0,0,0,0,0
101,5/1/2017,21/2/2019,Lee Fifield,6884276333,lfifield2s@stanford.edu,Dynava,Commercial,Standard,35204,3365,17,34769,77,50,0,0,0,0,0,0,0
102,12/4/2018,3/10/2018,Wilburt Coolican,8138484373,wcoolican2t@nbcnews.com,Agimba,Commercial,Standard,43304,4430,20,48392,430,35,2,0,0,0,0,0,0
103,9/8/2016,29/6/2018,Isaak Lippett,4186305238,ilippett2u@wunderground.com,Yacero,Hybrid,Standard,14502,1774,12,24290,91,45,1,0,0,0,0,0,0
104,11/5/2016,25/7/2018,Consolata Hastler,4897501193,chastler2v@sourceforge.net,Ozu,Residential,Excelium,30544,4591,11,47856,375,56,5,0,0,0,0,0,0
105,2/2/2019,13/2/2019,Millicent Farryann,9795004134,mfarryann2w@census.gov,Skyba,Residential,Premium,12089,4902,27,13662,431,76,2,0,0,0,0,0,0
106,1/5/2017,7/3/2019,Guglielma Naisbit,5102467338,gnaisbit2x@amazon.co.jp,Riffpedia,Hybrid,Premium,44883,2429,11,33971,55,75,1,0,0,0,0,0,0
107,31/12/2018,5/6/2018,Kathe Richardsson,7364610551,krichardsson2y@prnewswire.com,Voolith,Corporate,Standard,42134,3767,18,8172,257,74,4,0,0,0,0,0,0
108,24/3/2018,17/3/2018,Faith Zanetti,8238954019,fzanetti2z@foxnews.com,Jayo,Residential,Premium,10496,4638,17,43617,256,65,3,0,0,0,0,0,0
109,2/5/2017,20/9/2018,Xever Castagneto,4324579787,xcastagneto30@nature.com,Livetube,Commercial,Excelium,15564,822,45,51891,418,58,3,0,0,0,0,0,0
110,14/5/2017,17/5/2018,Erinn Brigginshaw,8061797736,ebrigginshaw31@ycombinator.com,Livetube,Commercial,Excelium,35691,1252,27,27280,273,38,0,0,0,0,0,0,0
111,10/1/2017,30/6/2018,Opaline Cooper,2264684799,ocooper32@jigsy.com,Skimia,Hybrid,Excelium,43243,1610,30,22165,124,12,1,0,0,0,0,0,0
112,6/2/2017,28/8/2018,Shirleen Pettiford,7936250056,spettiford33@csmonitor.com,Yombu,Hybrid,Excelium,42844,4265,42,7625,174,49,5,0,0,0,0,0,0
113,8/1/2017,5/3/2019,Harald Karpenya,3788903503,hkarpenya34@nyu.edu,Skyble,Commercial,Excelium,25415,3166,7,15012,1,79,0,0,0,0,0,0,0
114,21/7/2018,27/3/2018,Fania Dionsetto,1466972967,fdionsetto35@stanford.edu,Avavee,Commercial,Premium,7857,1850,26,2578,302,62,2,0,0,0,0,0,0
115,10/10/2018,26/4/2018,Yvette Aslet,9401153298,yaslet36@tumblr.com,Feedmix,Hybrid,Excelium,3473,2283,29,47843,93,56,4,0,0,0,0,0,0
116,30/6/2017,30/9/2018,Linell Gulliver,8217363070,lgulliver37@ft.com,Tavu,Residential,Premium,12905,4441,19,50730,151,91,1,0,0,0,0,0,0
117,21/10/2018,29/4/2018,Willdon Cumbes,2418065694,wcumbes38@slashdot.org,Linklinks,Hybrid,Premium,47979,4543,25,21402,40,33,0,0,0,0,0,0,0
118,22/8/2018,15/8/2018,Tabbie Lowen,7629613968,tlowen39@kickstarter.com,Zoombeat,Hybrid,Premium,24518,3528,14,41354,130,21,1,0,0,0,0,0,0
119,20/5/2016,27/9/2018,Asa Plampeyn,7575606955,aplampeyn3a@amazon.co.uk,Fivespan,Hybrid,Standard,25890,2035,25,12779,123,69,5,0,0,0,0,0,0
120,8/9/2018,2/1/2019,George Grist,2997751876,ggrist3b@amazonaws.com,Bluejam,Hybrid,Premium,4886,757,35,2118,145,59,2,0,0,0,0,0,0
121,5/12/2017,27/3/2018,Godart Beever,6776750079,gbeever3c@cargocollective.com,Tagtune,Residential,Standard,30354,4110,6,12239,74,18,0,0,0,0,0,0,0
122,29/12/2016,18/12/2018,Chicky Goncalo,2022889079,cgoncalo3d@about.me,Eimbee,Hybrid,Standard,47426,1801,41,23240,467,91,5,0,0,0,0,0,0
123,12/11/2016,22/12/2018,Nicki Nano,6616730526,nnano3e@qq.com,Tambee,Corporate,Standard,29255,1104,19,3925,406,82,3,0,0,0,0,0,0
124,10/2/2018,21/3/2018,Karyl Magwood,5738925843,kmagwood3f@ucsd.edu,Skalith,Hybrid,Premium,8049,2184,17,27505,452,5,0,0,0,0,0,0,0
125,14/5/2017,9/5/2018,Zack Ace,9298336598,zace3g@mozilla.org,Edgeify,Commercial,Standard,45034,2723,47,54435,193,94,0,0,0,0,0,0,0
126,11/4/2018,9/7/2018,Ivett Dripp,4132885296,idripp3h@un.org,Gabtype,Corporate,Standard,36662,4586,13,22213,138,36,3,0,0,0,0,0,0
127,3/11/2017,2/5/2018,Francis Masterman,9009668572,fmasterman3i@google.cn,Gabtype,Hybrid,Premium,26314,3614,14,14019,146,58,4,0,0,0,0,0,0
128,20/5/2018,31/12/2018,Sharity Kays,1897407524,skays3j@merriam-webster.com,Jabbercube,Corporate,Standard,6986,1495,37,11807,283,76,3,0,0,0,0,0,0
129,27/11/2016,23/9/2018,Anna Cawthra,7916342498,acawthra3k@xrea.com,Yata,Residential,Standard,43078,2474,10,29950,226,7,2,0,0,0,0,0,0
130,19/12/2017,24/4/2018,Alfy McTaggart,9332915797,amctaggart3l@usgs.gov,Janyx,Commercial,Premium,7668,1165,36,27951,25,8,0,0,0,0,0,0,0
131,28/1/2018,13/4/2018,Danny Westney,8154297675,dwestney3m@howstuffworks.com,Podcat,Residential,Standard,7404,4360,27,33559,152,81,5,0,0,0,0,0,0
132,17/9/2016,10/7/2018,Olympie Kindleside,2007738452,okindleside3n@oracle.com,Wordware,Corporate,Premium,1637,3464,11,47903,196,51,1,0,0,0,0,0,0
133,3/2/2017,28/2/2019,Eustace Shilling,3838390039,eshilling3o@weebly.com,Wikizz,Residential,Premium,16031,2943,15,23650,252,82,0,0,0,0,0,0,0
134,7/5/2016,20/9/2018,Joeann Pavlenkov,7045538714,jpavlenkov3p@virginia.edu,InnoZ,Hybrid,Premium,36261,3833,33,51632,79,98,2,0,0,0,0,0,0
135,15/10/2018,3/9/2018,Chandler Diego,2895526018,cdiego3q@va.gov,Vitz,Residential,Excelium,40853,1753,15,7718,208,91,4,0,0,0,0,0,0
136,25/10/2018,20/4/2018,Antone Derkes,6131320696,aderkes3r@mac.com,Aivee,Commercial,Premium,45436,1712,31,6218,366,4,2,0,0,0,0,0,0
137,19/11/2016,3/8/2018,Bartholomeus Calderbank,3724718842,bcalderbank3s@bizjournals.com,Centimia,Commercial,Premium,16810,514,35,51733,358,94,4,0,0,0,0,0,0
138,30/4/2016,24/9/2018,Fabio Calton,5894009007,fcalton3t@hhs.gov,InnoZ,Commercial,Excelium,27425,1678,36,26344,366,19,1,0,0,0,0,0,0
139,24/3/2017,25/1/2019,Codie Oldis,1669999974,coldis3u@discovery.com,Lazz,Residential,Premium,9049,3551,7,14235,87,94,2,0,0,0,0,0,0
140,4/6/2018,24/1/2019,Jocelin Phillcock,9121089010,jphillcock3v@privacy.gov.au,Quaxo,Commercial,Excelium,8974,1903,16,32646,39,67,2,0,0,0,0,0,0
141,8/6/2017,7/5/2018,Patrick Sperrett,5901287106,psperrett3w@usatoday.com,Skipfire,Residential,Standard,16859,3933,35,46647,71,38,5,0,0,0,0,0,0
142,18/4/2017,15/3/2018,Cordelie Geraudel,3149052569,cgeraudel3x@about.me,Yozio,Hybrid,Excelium,26008,3964,27,40716,1,70,3,0,0,0,0,0,0
143,23/4/2016,18/12/2018,Veronique Worsalls,1988035246,vworsalls3y@1688.com,Zoomzone,Hybrid,Premium,23498,4033,19,6029,68,58,5,0,0,0,0,0,0
144,3/8/2017,27/11/2018,Jerry Swatradge,8804921007,jswatradge3z@naver.com,Riffwire,Hybrid,Premium,33632,2261,36,16382,105,97,4,0,0,0,0,0,0
145,8/4/2016,25/1/2019,Kirstin Poytheras,4683625343,kpoytheras40@howstuffworks.com,Skilith,Corporate,Premium,14982,940,1,17627,273,65,0,0,0,0,0,0,0
146,3/6/2018,24/4/2018,Georgie Gadsden,3323939345,ggadsden41@adobe.com,Realpoint,Hybrid,Excelium,13690,1539,49,44548,121,74,1,0,0,0,0,0,0
147,5/6/2016,3/11/2018,Hunfredo Edmondson,2432625872,hedmondson42@ihg.com,Skipfire,Hybrid,Premium,38800,2941,11,9884,55,9,1,0,0,0,0,0,0
148,2/7/2016,26/1/2019,Adam Bottoms,7315090813,abottoms43@technorati.com,Gabspot,Commercial,Premium,14872,2896,44,54569,229,23,3,0,0,0,0,0,0
149,29/7/2017,25/2/2019,Tisha Goulborne,1185248734,tgoulborne44@example.com,Ntags,Hybrid,Excelium,31600,2348,24,7163,48,60,1,0,0,0,0,0,0
150,19/12/2018,28/4/2018,Cooper Hovell,5945634430,chovell45@shop-pro.jp,Gigazoom,Hybrid,Excelium,40636,757,46,2250,107,98,4,0,0,0,0,0,0
151,16/11/2018,27/6/2018,Halsy Ashfield,9168008314,hashfield46@amazon.co.jp,Topiclounge,Corporate,Premium,43172,2569,20,11825,54,66,4,0,0,0,0,0,0
152,19/11/2017,23/5/2018,Anton Gildroy,9377435399,agildroy47@jalbum.net,Yacero,Residential,Excelium,15249,4496,44,4316,46,32,3,0,0,0,0,0,0
153,2/4/2017,3/5/2018,Cati Ryce,3369936424,cryce48@bloglovin.com,Dynabox,Commercial,Premium,6288,3773,32,27561,165,66,4,0,0,0,0,0,0
154,26/10/2016,6/4/2018,Zondra Corry,7494176547,zcorry49@upenn.edu,Skiptube,Residential,Premium,38261,1693,42,43466,257,4,3,0,0,0,0,0,0
155,11/9/2017,20/4/2018,Victoir Cleaves,7339520750,vcleaves4a@geocities.jp,Pixonyx,Hybrid,Excelium,13564,3224,25,2549,408,88,2,0,0,0,0,0,0
156,15/3/2016,7/1/2019,Vikki Beausang,3262052785,vbeausang4b@ifeng.com,Lazzy,Hybrid,Standard,29572,2381,35,49908,210,59,4,0,0,0,0,0,0
