id,lead_id,address_id,admins_id,date_of_creation,business_name,full_name,phone_number,email,business_description,technical_ressource_phone_number,technical_ressource_email,created_at,updated_at
46,,46,100,16/2/2019,Meeveo,Hunt Lavalle,9115264215,hlavalle19@dmoz.org,I dont know,3955061134,hlavalle19@istockphoto.com,11/17/2016,3/3/2019
47,,47,212,11/7/2018,Ntag,Huntlee Yushkov,7541463018,hyushkov1a@istockphoto.com,I dont know,8374322477,hyushkov1a@a8.net,11/11/2017,2/4/2019
48,,48,48,23/12/2016,Blognation,Upton Westbury,9484123495,uwestbury1b@tinypic.com,Dont have time for this.,2946641850,uwestbury1b@cnet.com,9/10/2016,3/10/2019
49,,49,17,10/2/2017,Vinte,Fredric Witz,4687577925,fwitz1c@quantcast.com,Not,6808604249,fwitz1c@w3.org,12/5/2018,3/2/2019
50,,50,281,22/8/2017,Devbug,Roanne Denness,9115773184,rdenness1d@storify.com,Dont have time for this.,2693689904,rdenness1d@ezinearticles.com,7/21/2017,3/12/2019
51,,51,347,21/9/2017,Trupe,Heriberto Burburough,4757606888,hburburough1e@wikia.com,Well...,3277220645,hburburough1e@java.com,11/7/2018,2/20/2019
52,,52,328,23/4/2016,Jabbersphere,Natka Kellitt,9224601838,nkellitt1f@twitpic.com,Not,2436949990,nkellitt1f@europa.eu,8/9/2017,2/18/2019
53,,53,199,16/8/2017,Mymm,Cristie Harrington,8839176350,charrington1g@webs.com,Not,7255704188,charrington1g@quantcast.com,8/21/2017,2/5/2019
54,,54,466,14/8/2018,Feedspan,Katharine Maggiore,8388171344,kmaggiore1h@gnu.org,Good description says nothing,5561966993,kmaggiore1h@webmd.com,11/16/2017,2/1/2019
55,,55,286,20/2/2017,Innotype,Izabel Josling,1334504521,ijosling1i@deliciousdays.com,Well...,7886646424,ijosling1i@t-online.de,9/25/2017,3/11/2019
56,,56,480,21/9/2016,Tagfeed,Hebert Westoll,8101523433,hwestoll1j@printfriendly.com,This is a beautiful description,4125959889,hwestoll1j@ca.gov,11/4/2016,2/23/2019
57,,57,434,2/11/2018,Voolia,Gilles Docksey,1671657584,gdocksey1k@acquirethisname.com,Not,9785708384,gdocksey1k@list-manage.com,7/14/2018,3/3/2019
58,,58,182,1/12/2016,Tagtune,Sherman Clee,7222520120,sclee1l@miitbeian.gov.cn,I dont know,9033777075,sclee1l@tiny.cc,4/5/2018,3/12/2019
59,,59,459,4/9/2016,Gabcube,Ware Coke,5102135698,wcoke1m@berkeley.edu,Not,1866847604,wcoke1m@themeforest.net,4/26/2017,3/11/2019
60,,60,95,5/2/2018,Jatri,Patti Edser,3239729109,pedser1n@yolasite.com,Not,3938715000,pedser1n@blogs.com,3/16/2016,2/11/2019
61,,61,52,16/8/2018,Mynte,Amby Fairtlough,1038742909,afairtlough1o@facebook.com,Dont have time for this.,8394204655,afairtlough1o@chron.com,10/20/2018,2/13/2019
62,,62,462,23/1/2017,Feednation,Mandel Leary,7575363117,mleary1p@icio.us,I dont know,9187969411,mleary1p@networkadvertising.org,6/22/2017,2/24/2019
63,,63,325,3/7/2018,Latz,Rollin Lovegrove,2082707633,rlovegrove1q@pinterest.com,Not,4001150177,rlovegrove1q@telegraph.co.uk,8/24/2017,2/20/2019
64,,64,420,8/3/2018,Eadel,Stillman Bromont,3635289207,sbromont1r@soup.io,This is a beautiful description,1446712633,sbromont1r@google.pl,5/17/2018,2/28/2019
65,,65,361,13/11/2018,Centizu,Hank Cauthra,5537283011,hcauthra1s@1688.com,Good description says nothing,8228323675,hcauthra1s@vinaora.com,6/20/2017,2/10/2019
66,,66,211,12/4/2017,Yodel,Ambur Farman,1101556988,afarman1t@house.gov,Good description says nothing,6849142648,afarman1t@cdbaby.com,12/16/2017,2/11/2019
67,,67,388,4/11/2018,Wikizz,Hector Wabersich,3336473433,hwabersich1u@hibu.com,Not,6752192037,hwabersich1u@163.com,4/15/2017,2/17/2019
68,,68,86,29/8/2018,Thoughtworks,Doreen Cumes,4518704880,dcumes1v@ameblo.jp,Not,7769717260,dcumes1v@umn.edu,12/3/2017,2/20/2019
69,,69,406,24/6/2017,Tagchat,Ruthe Ashborn,1586713525,rashborn1w@acquirethisname.com,Not,3223650299,rashborn1w@bandcamp.com,12/9/2018,2/26/2019
70,,70,212,26/5/2018,Pixoboo,Korie Abramovici,1422167655,kabramovici1x@dailymail.co.uk,This is a beautiful description,8716480288,kabramovici1x@tmall.com,7/8/2016,3/12/2019
71,,71,472,27/4/2017,Centizu,Charlena Laven,9017807347,claven1y@hp.com,Good description says nothing,6656595131,claven1y@infoseek.co.jp,2/19/2018,3/11/2019
72,,72,374,11/7/2016,DabZ,Brade Todarini,1973415037,btodarini1z@hc360.com,Dont have time for this.,1539956386,btodarini1z@jalbum.net,9/26/2016,3/5/2019
73,,73,305,10/4/2016,Livepath,Gabi Corselles,9507810783,gcorselles20@smugmug.com,This is a beautiful description,1402361616,gcorselles20@histats.com,8/4/2016,3/4/2019
74,,74,200,13/10/2017,Buzzdog,Sheelah MacEvilly,7369407404,smacevilly21@narod.ru,Not,1991171162,smacevilly21@sakura.ne.jp,5/6/2016,3/2/2019
75,,75,270,11/7/2018,BlogXS,Bengt McGuckin,8435340906,bmcguckin22@mail.ru,I dont know,3847259729,bmcguckin22@google.de,10/12/2017,2/8/2019
76,,76,452,15/6/2017,Tagchat,Elwira Waterman,9931619723,ewaterman23@ted.com,I dont know,4799379289,ewaterman23@ask.com,5/16/2017,2/13/2019
77,,77,361,18/4/2017,Yozio,Shanan Beadnall,9114997503,sbeadnall24@baidu.com,Well...,9498691482,sbeadnall24@weibo.com,2/2/2017,2/4/2019
78,,78,371,18/8/2016,Dynabox,Rosalyn Raulstone,9722208084,rraulstone25@wired.com,Well...,7631958994,rraulstone25@alexa.com,1/20/2017,2/6/2019
79,,79,335,10/6/2017,Voonyx,Aleece Blanche,8741937534,ablanche26@utexas.edu,I dont know,4271948267,ablanche26@issuu.com,11/16/2016,2/7/2019
80,,80,239,25/9/2017,Rhycero,Jozef Sicely,5184927092,jsicely27@wiley.com,Dont have time for this.,7896679006,jsicely27@marriott.com,8/26/2017,2/6/2019
81,,81,317,26/2/2019,Dabfeed,Pebrook Ochiltree,3044731798,pochiltree28@artisteer.com,I dont know,4013909194,pochiltree28@alibaba.com,7/28/2017,2/7/2019
82,,82,34,10/11/2017,Camimbo,Britney Creamer,8125097851,bcreamer29@tuttocitta.it,This is a beautiful description,9707573692,bcreamer29@lycos.com,6/4/2016,3/3/2019
83,,83,421,11/2/2019,Eare,Raina Corser,6429059291,rcorser2a@google.ru,Good description says nothing,6558733044,rcorser2a@opera.com,4/10/2018,3/6/2019
84,,84,169,27/7/2016,Quaxo,Andra Monni,8935910697,amonni2b@mit.edu,Well...,4693815261,amonni2b@istockphoto.com,3/15/2017,2/15/2019
85,,85,82,5/6/2017,Voomm,Avery Sanney,4871661495,asanney2c@digg.com,Good description says nothing,2022195534,asanney2c@dion.ne.jp,11/20/2016,2/6/2019
86,,86,143,19/4/2016,Linklinks,Devy Beckhouse,8501400219,dbeckhouse2d@digg.com,Good description says nothing,4857885755,dbeckhouse2d@clickbank.net,2/8/2018,3/7/2019
87,,87,54,30/1/2018,Babbleopia,Florri McNess,7024609863,fmcness2e@list-manage.com,This is a beautiful description,4394846541,fmcness2e@cbc.ca,3/1/2018,2/8/2019
88,,88,134,19/3/2017,Aivee,Saul Ibbitt,1275934785,sibbitt2f@cnet.com,Dont have time for this.,6574813971,sibbitt2f@tuttocitta.it,8/31/2017,3/3/2019
89,,89,104,24/7/2017,Skinder,Orsa Rodd,9661723242,orodd2g@w3.org,Well...,3776061864,orodd2g@tripadvisor.com,2/18/2017,2/22/2019
90,,90,187,15/12/2016,Fiveclub,Birgit Kettlestringes,1936117239,bkettlestringes2h@hao123.com,I dont know,9185445245,bkettlestringes2h@godaddy.com,5/20/2018,2/15/2019
91,,91,30,15/3/2018,Blogtags,Dee Wyndham,6751885030,dwyndham2i@sfgate.com,I dont know,8017300611,dwyndham2i@dedecms.com,7/31/2018,2/6/2019
92,,92,466,23/7/2016,Yakijo,Tucky Burlingame,2835502893,tburlingame2j@wikispaces.com,Well...,2599436151,tburlingame2j@about.me,12/22/2018,3/7/2019
93,,93,312,15/4/2018,Quaxo,Rosie Gally,4107982853,rgally2k@istockphoto.com,Well...,6984720921,rgally2k@ucla.edu,2/21/2018,2/14/2019
94,,94,430,28/6/2017,Mynte,Brien More,4009438187,bmore2l@geocities.jp,Not,6012679547,bmore2l@networksolutions.com,1/6/2017,2/26/2019
95,,95,294,10/12/2017,Tagtune,Wildon Takkos,4668137125,wtakkos2m@nationalgeographic.com,I dont know,8021760112,wtakkos2m@naver.com,9/7/2018,2/4/2019
96,,96,407,11/12/2017,Twitterworks,Juliette Dobney,2622942392,jdobney2n@moonfruit.com,Not,7294218025,jdobney2n@desdev.cn,5/2/2018,3/2/2019
97,,97,495,26/6/2016,Youfeed,Hugh Biasotti,9749724564,hbiasotti2o@google.ca,This is a beautiful description,7263622815,hbiasotti2o@elegantthemes.com,2/6/2018,2/3/2019
98,,98,34,16/9/2017,Bubblebox,Hernando Ouldcott,6602437223,houldcott2p@aboutads.info,Not,1511993594,houldcott2p@joomla.org,11/19/2017,2/15/2019
99,,99,433,7/1/2018,Camimbo,Ira Ochterlonie,6208244319,iochterlonie2q@fema.gov,Dont have time for this.,4805632335,iochterlonie2q@nasa.gov,4/30/2017,2/24/2019
100,,100,243,1/10/2018,Bubblebox,Dwayne Caveney,3976983066,dcaveney2r@cbslocal.com,This is a beautiful description,3176908090,dcaveney2r@dedecms.com,6/29/2018,2/23/2019
101,,101,445,17/2/2017,Skilith,Hermy Cicchillo,7925313314,hcicchillo2s@tinypic.com,Dont have time for this.,8164471173,hcicchillo2s@tmall.com,11/8/2018,2/22/2019
102,,102,427,1/12/2016,Bluezoom,Rani Lomath,8863360609,rlomath2t@slashdot.org,Well...,8883535597,rlomath2t@symantec.com,9/27/2017,2/28/2019
103,,103,48,11/3/2018,Flipbug,Chet Nathon,6405416943,cnathon2u@tinypic.com,Good description says nothing,2939656049,cnathon2u@sciencedirect.com,8/18/2017,2/16/2019
104,,104,131,25/1/2019,Flashset,Jobi Driscoll,7131105512,jdriscoll2v@bing.com,Dont have time for this.,7907902923,jdriscoll2v@seattletimes.com,12/2/2016,2/1/2019
105,,105,63,21/6/2018,Browsebug,Yoshiko Zumbusch,9669909344,yzumbusch2w@wisc.edu,This is a beautiful description,7777551180,yzumbusch2w@wunderground.com,4/25/2016,2/18/2019
106,,106,326,20/3/2017,Agivu,Mozelle Dogerty,2138072195,mdogerty2x@tmall.com,Well...,5317307328,mdogerty2x@slate.com,9/10/2018,2/27/2019
107,,107,194,4/12/2018,Jaxbean,Ariella Briton,2384119451,abriton2y@sun.com,Well...,6009546744,abriton2y@vkontakte.ru,12/7/2016,2/7/2019
108,,108,61,4/3/2019,Roodel,Hendrick Howton,6893576267,hhowton2z@wordpress.org,Good description says nothing,2319290519,hhowton2z@imdb.com,1/11/2018,2/25/2019
109,,109,195,3/2/2019,Yodo,Wang Youens,9453580440,wyouens30@elegantthemes.com,This is a beautiful description,3006374767,wyouens30@oaic.gov.au,4/13/2017,2/17/2019
110,,110,342,21/1/2017,Twimm,Tansy Najera,8669798136,tnajera31@woothemes.com,Well...,5039808674,tnajera31@wix.com,2/10/2017,2/23/2019
111,,111,125,24/3/2017,Mynte,Briana Pavlishchev,8144165323,bpavlishchev32@illinois.edu,Not,5096673879,bpavlishchev32@newyorker.com,4/2/2018,3/12/2019
112,,112,227,16/11/2016,Kimia,Padget Bullard,8831955702,pbullard33@utexas.edu,This is a beautiful description,6416503171,pbullard33@sciencedaily.com,11/12/2016,2/5/2019
113,,113,237,5/1/2018,Voomm,Kacy Nano,2933786000,knano34@sohu.com,This is a beautiful description,5519000748,knano34@posterous.com,12/17/2017,3/5/2019
114,,114,310,19/1/2017,Aibox,Junie McGeorge,8535498779,jmcgeorge35@ustream.tv,Not,6226532034,jmcgeorge35@harvard.edu,4/27/2018,2/20/2019
115,,115,377,21/8/2018,Kamba,Franky Garnul,5275819449,fgarnul36@zdnet.com,I dont know,3959626720,fgarnul36@usatoday.com,10/14/2018,2/18/2019
116,,116,486,21/8/2016,Brainlounge,Andee Yockley,1494614425,ayockley37@posterous.com,This is a beautiful description,9689529629,ayockley37@squidoo.com,8/19/2017,3/1/2019
117,,117,435,2/10/2017,Meejo,Dena Twitchings,2286692248,dtwitchings38@ning.com,Dont have time for this.,5566983093,dtwitchings38@cafepress.com,9/6/2018,2/2/2019
118,,118,448,31/12/2016,Zoonder,Yuri Mabon,5338894783,ymabon39@illinois.edu,I dont know,9639552092,ymabon39@nytimes.com,10/6/2017,2/26/2019
119,,119,173,26/12/2017,Gevee,Nanci Ambrois,1707212166,nambrois3a@merriam-webster.com,Not,8487563065,nambrois3a@census.gov,8/4/2016,2/9/2019
120,,120,351,31/7/2017,Meevee,Kassey Deveraux,4284658353,kdeveraux3b@histats.com,This is a beautiful description,4866618557,kdeveraux3b@clickbank.net,4/10/2017,2/11/2019
121,,121,227,3/5/2018,Thoughtsphere,Carroll Camamile,9274300479,ccamamile3c@blogspot.com,Good description says nothing,1348752268,ccamamile3c@google.co.jp,3/10/2017,2/3/2019
122,,122,56,16/1/2019,Voomm,Padgett Goghin,1682704427,pgoghin3d@fda.gov,Good description says nothing,7778784342,pgoghin3d@hao123.com,5/12/2018,2/4/2019
123,,123,113,27/9/2018,Quatz,Antonino Le Leu,3141164321,ale3e@arizona.edu,Not,6107143553,ale3e@amazon.com,6/10/2016,2/12/2019
124,,124,464,23/9/2016,Wikizz,Gerald Jockle,1414386627,gjockle3f@bandcamp.com,Good description says nothing,9766358255,gjockle3f@tinyurl.com,7/15/2018,3/5/2019
125,,125,180,30/1/2019,Agimba,Prentiss Recke,1019567959,precke3g@mac.com,I dont know,1472712947,precke3g@studiopress.com,11/30/2017,2/9/2019
126,,126,221,23/9/2017,Bubblemix,Aigneis Kimm,2256233277,akimm3h@fc2.com,Not,4402545471,akimm3h@digg.com,4/28/2018,3/3/2019
127,,127,193,22/4/2016,Centizu,Leonerd Labet,3313883276,llabet3i@epa.gov,Dont have time for this.,3231184646,llabet3i@elegantthemes.com,8/8/2016,2/20/2019
128,,128,320,20/1/2017,Bluezoom,Donica Houlson,1793503077,dhoulson3j@microsoft.com,Well...,4708817089,dhoulson3j@dailymail.co.uk,12/3/2017,2/19/2019
129,,129,125,10/2/2017,Kamba,Marlie Panswick,2399063569,mpanswick3k@slate.com,Not,4432222307,mpanswick3k@bandcamp.com,4/29/2017,3/8/2019
130,,130,174,2/10/2016,Innojam,Orsa Denyukin,3552397175,odenyukin3l@google.com,I dont know,8747550023,odenyukin3l@nifty.com,9/22/2018,3/7/2019
131,,131,233,22/6/2017,Jayo,Dana Doutch,8272471453,ddoutch3m@deviantart.com,I dont know,5725853509,ddoutch3m@opera.com,5/9/2016,3/10/2019
132,,132,111,17/2/2017,Skinte,Merilyn Domsalla,1718557197,mdomsalla3n@usa.gov,This is a beautiful description,1207197635,mdomsalla3n@msu.edu,11/2/2018,3/6/2019
133,,133,61,2/11/2016,Trilia,Joly OFlynn,6515121429,joflynn3o@independent.co.uk,This is a beautiful description,6973020585,joflynn3o@reddit.com,6/6/2017,2/21/2019
134,,134,59,9/11/2017,Gigabox,Si Vowells,6116389254,svowells3p@ted.com,Dont have time for this.,3019128904,svowells3p@photobucket.com,10/23/2018,2/3/2019
135,,135,308,2/2/2017,Twimbo,Kimmi Giorgini,4133382328,kgiorgini3q@google.co.uk,Good description says nothing,9662314305,kgiorgini3q@sohu.com,12/25/2017,2/15/2019
136,,136,387,19/12/2018,Ailane,Bronnie Leeson,7329449903,bleeson3r@home.pl,Well...,5141817796,bleeson3r@digg.com,4/23/2018,2/8/2019
137,,137,203,10/6/2016,Rooxo,Didi Adamou,3389663202,dadamou3s@mysql.com,Not,7251975894,dadamou3s@umich.edu,9/27/2017,2/8/2019
138,,138,174,22/6/2017,Blogspan,Anjela Rimour,8684554286,arimour3t@nyu.edu,Dont have time for this.,1214548185,arimour3t@theglobeandmail.com,5/2/2017,2/16/2019
139,,139,272,4/3/2017,Youtags,Towny Coronas,2055186650,tcoronas3u@g.co,I dont know,9157394748,tcoronas3u@google.com.br,9/1/2018,2/13/2019
140,,140,314,4/2/2018,Dabvine,Parry Barnardo,3643276281,pbarnardo3v@dropbox.com,This is a beautiful description,8566045051,pbarnardo3v@moonfruit.com,8/6/2018,3/3/2019
141,,141,225,23/3/2017,Einti,Sibylla Meindl,5315534453,smeindl3w@huffingtonpost.com,Not,5958619361,smeindl3w@webnode.com,9/14/2018,2/4/2019
142,,142,226,8/4/2017,Zoombox,Diahann Gounot,8911536371,dgounot3x@dot.gov,This is a beautiful description,6362716093,dgounot3x@shinystat.com,7/12/2018,3/2/2019
143,,143,413,14/11/2016,Fanoodle,Heriberto Trett,5662857467,htrett3y@nbcnews.com,Not,1721788573,htrett3y@whitehouse.gov,3/14/2017,3/1/2019
144,,144,301,18/10/2017,Topiczoom,Cosimo Klass,2987323201,cklass3z@goo.ne.jp,Dont have time for this.,5056869921,cklass3z@google.ca,9/19/2017,3/12/2019
145,,145,310,2/12/2016,Ooba,Allyce Bellchamber,4229712630,abellchamber40@nifty.com,Good description says nothing,2328583868,abellchamber40@uol.com.br,3/2/2018,2/9/2019
146,,146,191,14/10/2017,Rhycero,Gaelan Buard,4208411112,gbuard41@rambler.ru,Dont have time for this.,5616128226,gbuard41@google.de,10/6/2018,2/17/2019
147,,147,300,12/11/2018,Voolia,Idell Doswell,9382143186,idoswell42@pcworld.com,This is a beautiful description,4899254719,idoswell42@indiatimes.com,7/16/2016,2/10/2019
148,,148,229,4/1/2019,Teklist,Adorne Somerville,9372625813,asomerville43@army.mil,Well...,1835216717,asomerville43@vinaora.com,4/11/2017,3/12/2019
149,,149,302,26/6/2016,Blognation,Cristabel Broggini,1625901569,cbroggini44@seesaa.net,This is a beautiful description,6184783533,cbroggini44@hostgator.com,4/5/2018,3/5/2019
150,,150,257,7/3/2017,Realpoint,Lucia Malling,1308791802,lmalling45@wikia.com,Good description says nothing,9499434647,lmalling45@dropbox.com,6/26/2016,3/9/2019
151,,151,329,24/1/2018,Dynabox,Farley Ginie,5996345497,fginie46@paypal.com,I dont know,8013172561,fginie46@baidu.com,1/29/2018,3/8/2019
152,,152,151,29/5/2018,Izio,Kip Castelletto,8267740675,kcastelletto47@123-reg.co.uk,Dont have time for this.,7872051329,kcastelletto47@nationalgeographic.com,11/13/2016,3/6/2019
153,,153,308,16/4/2018,Jabberstorm,Hercules Broom,2165516279,hbroom48@theatlantic.com,Dont have time for this.,9237813666,hbroom48@addtoany.com,10/25/2017,2/11/2019
154,,154,25,9/6/2016,Oyoyo,Hilde McGall,7202831077,hmcgall49@oracle.com,I dont know,1557127286,hmcgall49@ed.gov,11/14/2017,2/21/2019
155,,155,18,21/5/2016,Photojam,Kit Stollberger,4431734955,kstollberger4a@java.com,I dont know,3064308607,kstollberger4a@printfriendly.com,4/17/2018,2/21/2019
156,,156,433,17/3/2017,Zoombox,Inigo Loweth,6968899618,iloweth4b@ehow.com,Dont have time for this.,3408360969,iloweth4b@un.org,7/16/2017,2/4/2019
157,,157,479,7/4/2016,Cogibox,Pall Gerrelt,6317366614,pgerrelt4c@who.int,Good description says nothing,3256406522,pgerrelt4c@plala.or.jp,4/4/2018,3/3/2019
158,,158,323,21/12/2016,Topicshots,Mark Ateggart,8507941591,mateggart4d@ed.gov,Good description says nothing,5531442439,mateggart4d@i2i.jp,8/23/2017,2/6/2019
159,,159,440,12/6/2018,Oyoba,Alana Withringten,1342304757,awithringten4e@walmart.com,Not,2376015043,awithringten4e@trellian.com,10/31/2017,2/14/2019
160,,160,441,11/11/2018,Devpulse,Ketty Anders,7643131334,kanders4f@nps.gov,Not,7043092765,kanders4f@fotki.com,8/4/2017,3/11/2019
